tmscore_to_label_by_pred,tmscore_to_label_by_label,tmscore_to_alt_label_by_pred,tmscore_to_alt_label_by_alt_label,rmsd_to_label,rmsd_alt_label,tmscore_xlabel_self2alt,tmscore_xlabel_alt2self,rmsd_xlabel
0.46719014603449643,0.4878671798833134,0.4492518794685869,0.46324730160632505,0,0,0.5080645620259083,0.5046945357740573,0
0.38557598145663385,0.4017903901803956,0.38085727311183526,0.3941808423379329,0,0,0.5080645620259083,0.5046945357740573,0
0.4462258115839591,0.46627468834914987,0.5025719781369443,0.5195581702658233,0,0,0.5080645620259083,0.5046945357740573,0
0.46163513818606855,0.48294239205540146,0.45270305283633727,0.4707775944247219,0,0,0.5080645620259083,0.5046945357740573,0
0.6329813433079976,0.6576892798659618,0.42609455047604833,0.44230194214432694,0,0,0.5080645620259083,0.5046945357740573,0
0.2672412754868482,0.2775450450459712,0.29621463055683167,0.30536717453361983,0,0,0.5080645620259083,0.5046945357740573,0
0.4529650717363262,0.4704409076985481,0.4525109823920668,0.4667518215295169,0,0,0.5080645620259083,0.5046945357740573,0
0.3497022003155921,0.36280371162861585,0.38038312487863346,0.3910631016476001,0,0,0.5080645620259083,0.5046945357740573,0
0.4308253513671361,0.4490037974377246,0.42801382531358645,0.4411115507993533,0,0,0.5080645620259083,0.5046945357740573,0
0.41660251499426315,0.4323915670997675,0.42629822868393336,0.44033475816650325,0,0,0.5080645620259083,0.5046945357740573,0
0.5757337917347262,0.5993413072547468,0.4823025293272978,0.5009748616139278,0,0,0.5080645620259083,0.5046945357740573,0
0.46704418302681994,0.4870562184976878,0.46105445135678974,0.4784324957031537,0,0,0.5080645620259083,0.5046945357740573,0
0.40699225873650974,0.4237979560932252,0.38691198544292393,0.40085151100748606,0,0,0.5080645620259083,0.5046945357740573,0
0.44080275481649145,0.4609147951790967,0.47949406015495766,0.4962801494360607,0,0,0.5080645620259083,0.5046945357740573,0
